City	postcode	appartment_price	maison_price	location_price
PARIS-01	75101	6803	null	18.8	
PARIS-02	75102	6138	6240	18.3	
PARIS-03	75103	6486	null	18.3	
PARIS-04	75104	7157	8809	18.5	
PARIS-05	75105	6734	8348	18	
PARIS-06	75106	7608	9441	18.8	
PARIS-07	75107	7550	7906	18.7	
PARIS-08	75108	6116	6210	17.5	
PARIS-09	75109	5602	9153	16.4	
PARIS-10	75110	5053	6422	16	
PARIS-11	75111	5274	5628	16.3	
PARIS-12	75112	4903	5254	15.3	
PARIS-13	75113	4853	5706	15.3	
PARIS-14	75114	5306	6795	15.8	
PARIS-15	75115	5360	6046	16	
PARIS-16	75116	5710	7358	16.5	
PARIS-17	75117	5448	6490	16.5	
PARIS-18	75118	4934	6349	15.3	
PARIS-19	75119	4311	5277	14.1	
PARIS-20	75120	4478	5226	14.6	
CRETEIL	2150	2649	9.6	94028	
VITRY-SUR-SEINE	2191	2356	9.8	94081	
CHAMPIGNY-SUR-MARNE	2239	1990	9.1	94017	
SAINT-MAUR-DES-FOSSES	2934	3341	11	94068	
IVRY-SUR-SEINE	2763	2521	11.4	94041	
VILLEJUIF	2694	2547	10.9	94076	
MAISONS-ALFORT	3278	3325	11.1	94046	
FONTENAY-SOUS-BOIS	3181	2993	11.5	94033	
VINCENNES	4690	5140	13.9	94080	
ALFORTVILLE	2527	2537	10.5	94002	
CHOISY-LE-ROI	2109	2147	9.9	94022	
LE-PERREUX-SUR-MARNE	2853	3235	10.6	94058	
VILLENEUVE-SAINT-GEORGES	1695	1370	8.7	94078	
NOGENT-SUR-MARNE	3532	4317	11.6	94052	
L-HAY-LES-ROSES	2411	2476	9.3	94038	
CHARENTON-LE-PONT	4508	5282	12.9	94018	
THIAIS	2152	2200	9.3	94073	
CACHAN	2713	2939	10.8	94016	
VILLIERS-SUR-MARNE	2203	2052	8.6	94079	
FRESNES	2142	2466	8.6	94034	
EVRY	3018	3384	17.5	91228	
CORBEIL-ESSONNES	3128	2964	17.4	91174	
MASSY	5399	4883	20.6	91377	
SAVIGNY-SUR-ORGE	4190	4060	18.3	91589	
SAINTE-GENEVIEVE-DES-BOIS	4081	3931	17.4	91549	
VIRY-CHATILLON	3995	3715	17.6	91687	
PALAISEAU	5187	4996	19.4	91477	
ATHIS-MONS	4244	3957	18.4	91027	
YERRES	4680	4099	18.4	91691	
DRAVEIL	3935	3952	17.8	91201	
VIGNEUX-SUR-SEINE	4045	3651	18.1	91657	
GRIGNY	2020	3112	16.8	91286	
RIS-ORANGIS	2862	3315	16.8	91521	
BRUNOY	4451	3964	18.3	91114	
LES-ULIS	3553	4002	15.7	91692	
BRETIGNY-SUR-ORGE	4200	3467	17.7	91103	
ETAMPES	3323	2727	15.6	91223	
MONTGERON	5307	3948	18.4	91421	
LONGJUMEAU	4042	4034	17.8	91345	
